date,open,high,low,close,volume,oi,expiry
2020-01-01,603.7,604.4,599.1,599.95,946250.0,12538750.0,2020-01-30
2020-01-02,600.65,601.45,592.5,597.4,1500000.0,12628750.0,2020-01-30
2020-01-03,592.65,594.9,582.85,585.9,2147500.0,13001250.0,2020-01-30
2020-01-06,584.7,585.6,570.0,571.2,2253750.0,13058750.0,2020-01-30
2020-01-07,573.4,575.9,565.4,567.0,2198750.0,13331250.0,2020-01-30
2020-01-08,564.4,576.5,562.05,574.8,2537500.0,12855000.0,2020-01-30
2020-01-09,578.4,596.2,571.6,595.1,6512500.0,13340000.0,2020-01-30
2020-01-10,594.0,598.0,586.0,588.6,2443750.0,13140000.0,2020-01-30
2020-01-13,589.5,594.0,580.35,584.8,2002500.0,13241250.0,2020-01-30
2020-01-14,584.3,587.0,576.4,584.0,2621250.0,13341250.0,2020-01-30
2020-01-15,582.5,583.95,577.3,580.8,1873750.0,13347500.0,2020-01-30
2020-01-16,581.0,592.0,580.25,586.85,2268750.0,13438750.0,2020-01-30
2020-01-17,586.4,587.7,581.1,583.2,1085000.0,13423750.0,2020-01-30
2020-01-20,584.6,588.55,577.05,578.7,2273750.0,13432500.0,2020-01-30
2020-01-21,577.55,580.8,570.95,577.8,2317500.0,13336250.0,2020-01-30
2020-01-22,579.4,591.75,578.8,588.7,4042500.0,12513750.0,2020-01-30
2020-01-23,588.4,591.0,581.1,583.25,2648750.0,12160000.0,2020-01-30
2020-01-24,582.1,585.0,575.65,578.4,3555000.0,11416250.0,2020-01-30
2020-01-27,575.55,583.9,574.1,577.1,4092500.0,9636250.0,2020-01-30
2020-01-28,598.0,661.95,593.0,655.95,34828750.0,7443750.0,2020-01-30
2020-01-29,655.95,661.95,635.0500000000001,640.0,8846250.0,10845000.0,2020-02-27
2020-01-30,640.7,651.75,636.1,638.6500000000001,5612500.0,13102500.0,2020-02-27
2020-01-31,638.8000000000001,644.85,621.95,623.6,3211250.0,13072500.0,2020-02-27
2020-02-03,622.2,628.6500000000001,614.95,625.35,3787500.0,13362500.0,2020-02-27
2020-02-04,627.6,649.5500000000001,622.6,646.5,5317500.0,13491250.0,2020-02-27
2020-02-05,655.45,657.95,644.8000000000001,654.1,4825000.0,13122500.0,2020-02-27
2020-02-06,657.75,664.35,649.45,657.0,3696250.0,13173750.0,2020-02-27
2020-02-07,655.5,692.8000000000001,651.95,677.35,13558750.0,13153750.0,2020-02-27
2020-02-10,675.95,691.95,672.6,689.2,5563750.0,13252500.0,2020-02-27
2020-02-11,691.5,694.95,672.45,675.0,4260000.0,13368750.0,2020-02-27
2020-02-12,655.0,696.95,655.0,694.8000000000001,5115000.0,13388750.0,2020-02-27
2020-02-13,693.1500000000001,713.7,689.6500000000001,711.7,9973750.0,12802500.0,2020-02-27
2020-02-14,712.7,715.95,702.0,706.5500000000001,3240000.0,12550000.0,2020-02-27
2020-02-17,707.0,714.4000000000001,698.1500000000001,703.6,3180000.0,12547500.0,2020-02-27
2020-02-18,703.85,730.95,692.95,724.0,7026250.0,12668750.0,2020-02-27
2020-02-19,730.3000000000001,735.1500000000001,720.2,730.6500000000001,6392500.0,12392500.0,2020-02-27
2020-02-20,726.9000000000001,743.1500000000001,723.45,725.35,5946250.0,12197500.0,2020-02-27
