symbol,source
MAZDOCK,BHAVCOPY
MCDOWELL-N,BHAVCOPY
MCX,BHAVCOPY
METROPOLIS,BHAVCOPY
MFSL,BHAVCOPY
MGL,BHAVCOPY
MINDTREE,BHAVCOPY
MOTHERSON,BHAVCOPY
MOTHERSUMI,BHAVCOPY
MPHASIS,BHAVCOPY
MRF,BHAVCOPY
MUTHOOTFIN,BHAVCOPY
NAM-INDIA,BHAVCOPY
NATIONALUM,BHAVCOPY
NAUKRI,BHAVCOPY
NAVINFLUOR,BHAVCOPY
NBCC,BHAVCOPY
NCC,BHAVCOPY
NESTLEIND,BHAVCOPY
NHPC,BHAVCOPY
NIITTECH,BHAVCOPY
NMDC,BHAVCOPY
NTPC,BHAVCOPY
NUVAMA,BHAVCOPY
NYKAA,BHAVCOPY
OBEROIRLTY,BHAVCOPY
OFSS,BHAVCOPY
OIL,BHAVCOPY
ONGC,BHAVCOPY
PAGEIND,BHAVCOPY
PATANJALI,BHAVCOPY
PAYTM,BHAVCOPY
PEL,BHAVCOPY
PERSISTENT,BHAVCOPY
PETRONET,BHAVCOPY
PFC,BHAVCOPY
PFIZER,BHAVCOPY
PGEL,BHAVCOPY
PHOENIXLTD,BHAVCOPY
PIDILITIND,BHAVCOPY
PIIND,BHAVCOPY
PNB,BHAVCOPY
PNBHOUSING,BHAVCOPY
POLICYBZR,BHAVCOPY
POLYCAB,BHAVCOPY
POONAWALLA,BHAVCOPY
POWERGRID,BHAVCOPY
POWERINDIA,BHAVCOPY
PPLPHARMA,BHAVCOPY
PRESTIGE,BHAVCOPY
PVR,BHAVCOPY
PVRINOX,BHAVCOPY
RAIN,BHAVCOPY
RAMCOCEM,BHAVCOPY
RBLBANK,BHAVCOPY
RECLTD,BHAVCOPY
RELIANCE,BHAVCOPY
RVNL,BHAVCOPY
SAIL,BHAVCOPY
SAMMAANCAP,BHAVCOPY
SBICARD,BHAVCOPY
SBILIFE,BHAVCOPY
SBIN,BHAVCOPY
SHREECEM,BHAVCOPY
SHRIRAMFIN,BHAVCOPY
SIEMENS,BHAVCOPY
SJVN,BHAVCOPY
SOLARINDS,BHAVCOPY
SONACOMS,BHAVCOPY
SRF,BHAVCOPY
SRTRANSFIN,BHAVCOPY
STAR,BHAVCOPY
SUNPHARMA,BHAVCOPY
SUNTV,BHAVCOPY
SUPREMEIND,BHAVCOPY
SUZLON,BHAVCOPY
SYNGENE,BHAVCOPY
TATACHEM,BHAVCOPY
TATACOMM,BHAVCOPY
TATACONSUM,BHAVCOPY
TATAELXSI,BHAVCOPY
TATAGLOBAL,BHAVCOPY
TATAMOTORS,BHAVCOPY
TATAPOWER,BHAVCOPY
TATASTEEL,BHAVCOPY
TATATECH,BHAVCOPY
TCS,BHAVCOPY
TECHM,BHAVCOPY
TIINDIA,BHAVCOPY
TITAGARH,BHAVCOPY
TITAN,BHAVCOPY
TMPV,BHAVCOPY
TORNTPHARM,BHAVCOPY
TORNTPOWER,BHAVCOPY
TRENT,BHAVCOPY
TVSMOTOR,BHAVCOPY
UBL,BHAVCOPY
UJJIVAN,BHAVCOPY
ULTRACEMCO,BHAVCOPY
UNIONBANK,BHAVCOPY
UNITDSPR,BHAVCOPY
UNOMINDA,BHAVCOPY
UPL,BHAVCOPY
VBL,BHAVCOPY
VEDL,BHAVCOPY
VOLTAS,BHAVCOPY
WHIRLPOOL,BHAVCOPY
WIPRO,BHAVCOPY
YESBANK,BHAVCOPY
ZEEL,BHAVCOPY
ZOMATO,BHAVCOPY
ZYDUSLIFE,BHAVCOPY
