DATE,portfolio_return,equity
2023-01-02,-0.0011826950513208652,0.9988173049486792
2023-01-03,-0.010916803128079012,0.987913413069636
2023-01-04,-0.00951366069410387,0.9785147400625374
2023-01-05,0.043211107358221014,1.0207974455469815
2023-01-06,0.01110146673975727,1.0321297944367505
2023-01-09,0.013093509964297886,1.0456439961846569
2023-01-10,0.033572153051223144,1.0807485164616608
2023-01-11,-0.001953573879610593,1.0786371943894735
2023-01-12,0.03759894057442466,1.1191928101626873
2023-01-13,-0.00966309457252711,1.108377944193193
2023-01-16,0.027072437953011556,1.1383844373158496
2023-01-17,0.04064785453344953,1.184657322327007
2023-01-18,0.0500838443615241,1.2439895152801728
2023-01-19,0.04999402639009422,1.3061815599360902
2023-01-20,0.04277220624912397,1.3620498270164791
2023-01-23,0.00028087667475256984,1.3624323950427388
2023-01-24,0.024143853204351313,1.3953267627895036
2023-01-25,0.01847612799820788,1.4211069986581277
2023-01-27,-0.001533634368686912,1.418927540123404
2023-01-30,0.014836010167258343,1.4399787635352779
2023-01-31,0.02559715528393978,1.476838123551066
2023-02-01,0.02515865813070462,1.5139933890158785
2023-02-02,-0.00560176518943635,1.5055123535522525
2023-02-03,0.05598812367798495,1.5898031654016702
2023-02-06,0.016595590600672897,1.6161868878703303
2023-02-07,0.04933540050360695,1.695922115272091
2023-02-08,0.023853515566409984,1.7363758198481525
2023-02-09,0.0073297726544176685,1.7491030598502675
2023-02-10,-0.01636724966078628,1.720475053387253
2023-02-13,0.04595868910843041,1.7995458314846882
2023-02-14,0.00783689764727329,1.813648687977611
2023-02-15,0.05027676300511611,1.9048330732376013
2023-02-16,0.0017717864728625577,1.908208030709825
2023-02-17,0.02758725968599767,1.960850261187923
2023-02-20,0.021886138168590846,2.0037657009321994
2023-02-21,0.009464100796925692,2.022729541499244
2023-02-22,0.014546127848060725,2.0521524240119415
2023-02-23,-0.01966644955532241,2.011793871885278
2023-02-24,-0.002866166160967412,2.0060277363668386
2023-02-27,0.03675694685082612,2.0797631912537575
2023-02-28,0.025305288448588044,2.1323921987131897
2023-03-01,0.05944200525065019,2.2591458669855444
2023-03-02,0.046074682835651325,2.363235296286376
2023-03-03,0.04120127047334892,2.4606035929208354
2023-03-06,0.040693008597903375,2.5607329560835947
2023-03-08,-0.013472985112029679,2.5262322390903966
2023-03-09,0.008897405437720935,2.5487091515514253
