symbol,date,open,high,low,close,volume,oi,expiry
AXISBANK  ,2025-12-11,1297.1,1298.3,1292.0,1293.3,32500.0,212500.0,2026-02-24
BAJAJ-AUTO,2025-12-11,9006.0,9119.0,8973.0,9093.5,253275.0,3328350.0,2025-12-30
BAJAJ-AUTO,2025-12-11,9038.0,9157.5,9013.0,9130.0,17925.0,108750.0,2026-01-27
BAJAJ-AUTO,2025-12-11,9087.0,9190.0,9070.0,9167.5,2025.0,10725.0,2026-02-24
BAJAJFINSV,2025-12-11,2082.1,2084.2,2055.0,2071.7,756500.0,17944000.0,2025-12-30
BAJAJFINSV,2025-12-11,2088.3,2090.0,2069.8,2084.5,79750.0,734750.0,2026-01-27
BAJAJFINSV,2025-12-11,2090.1,2103.0,2082.0,2096.2,9500.0,56750.0,2026-02-24
BAJFINANCE,2025-12-11,1015.0,1023.9,1004.3,1010.9,6007500.0,83493750.0,2025-12-30
BAJFINANCE,2025-12-11,1026.1,1029.9,1010.7,1017.0,1540500.0,4369500.0,2026-01-27
BAJFINANCE,2025-12-11,1025.9,1035.0,1017.5,1022.8,61500.0,570750.0,2026-02-24
BANDHANBNK,2025-12-11,141.27,146.0,141.26,145.56,1443600.0,113504400.0,2025-12-30
BANDHANBNK,2025-12-11,142.24,146.69,142.24,145.98,154800.0,6703200.0,2026-01-27
BANDHANBNK,2025-12-11,146.06,146.06,146.06,146.06,7200.0,738000.0,2026-02-24
BANKBARODA,2025-12-11,287.65,289.3,284.5,286.3,15052050.0,80455050.0,2025-12-30
BANKBARODA,2025-12-11,287.75,290.95,286.25,288.0,1345500.0,4744350.0,2026-01-27
BANKBARODA,2025-12-11,291.0,291.65,288.05,289.8,228150.0,585000.0,2026-02-24
BANKINDIA ,2025-12-11,139.0,142.14,139.0,141.05,8387600.0,49992800.0,2025-12-30
BANKINDIA ,2025-12-11,140.57,142.9,140.57,141.82,405600.0,2355600.0,2026-01-27
BANKINDIA ,2025-12-11,141.6,143.45,141.6,142.5,78000.0,296400.0,2026-02-24
BDL       ,2025-12-11,1401.5,1432.9,1398.1,1420.2,740350.0,3859700.0,2025-12-30
BDL       ,2025-12-11,1411.0,1440.0,1405.8,1428.4,76650.0,393050.0,2026-01-27
BDL       ,2025-12-11,1418.7,1440.0,1418.7,1432.6,5600.0,58800.0,2026-02-24
BEL       ,2025-12-11,388.0,391.65,387.15,389.5,8240775.0,106399050.0,2025-12-30
BEL       ,2025-12-11,390.35,394.0,389.45,391.65,2884200.0,13048725.0,2026-01-27
BEL       ,2025-12-11,392.75,395.85,391.75,393.85,285000.0,1443525.0,2026-02-24
BHARATFORG,2025-12-11,1390.9,1421.4,1386.1,1414.2,1562500.0,7169500.0,2025-12-30
BHARATFORG,2025-12-11,1396.3,1425.9,1396.3,1419.2,97000.0,364500.0,2026-01-27
BHARATFORG,2025-12-11,1393.0,1420.0,1393.0,1420.0,4000.0,23000.0,2026-02-24
BHARTIARTL,2025-12-11,2070.4,2071.8,2046.6,2062.6,4404675.0,44219650.0,2025-12-30
BHARTIARTL,2025-12-11,2078.4,2083.2,2059.1,2075.4,1188450.0,3821850.0,2026-01-27
BHARTIARTL,2025-12-11,2087.7,2094.8,2073.1,2085.9,130150.0,287850.0,2026-02-24
BHEL      ,2025-12-11,277.0,280.45,275.0,277.75,8922375.0,57668625.0,2025-12-30
BHEL      ,2025-12-11,278.95,282.0,276.75,279.45,658875.0,2401875.0,2026-01-27
BHEL      ,2025-12-11,282.2,283.05,280.0,280.9,52500.0,464625.0,2026-02-24
BIOCON    ,2025-12-11,380.85,384.5,378.0,383.7,4707500.0,46240000.0,2025-12-30
BIOCON    ,2025-12-11,381.4,386.45,380.25,385.5,282500.0,1710000.0,2026-01-27
BIOCON    ,2025-12-11,383.35,388.2,383.35,388.15,22500.0,245000.0,2026-02-24
BLUESTARCO,2025-12-11,1720.3,1762.5,1720.3,1753.1,294775.0,2163200.0,2025-12-30
BLUESTARCO,2025-12-11,1732.9,1759.6,1732.9,1754.6,33475.0,125125.0,2026-01-27
BLUESTARCO,2025-12-11,1745.0,1745.0,1745.0,1745.0,325.0,1950.0,2026-02-24
BOSCHLTD  ,2025-12-11,36360.0,37130.0,36150.0,36990.0,20450.0,191050.0,2025-12-30
BOSCHLTD  ,2025-12-11,36645.0,37330.0,36505.0,37180.0,1475.0,5050.0,2026-01-27
BPCL      ,2025-12-11,356.5,357.45,350.8,352.9,4416100.0,26514375.0,2025-12-30
BPCL      ,2025-12-11,358.35,358.35,352.25,354.1,414750.0,764325.0,2026-01-27
BPCL      ,2025-12-11,356.5,356.5,351.65,352.95,43450.0,163925.0,2026-02-24
BRITANNIA ,2025-12-11,5851.0,5912.0,5830.0,5862.0,180875.0,2693000.0,2025-12-30
BRITANNIA ,2025-12-11,5875.0,5940.0,5875.0,5902.0,5875.0,40500.0,2026-01-27
BRITANNIA ,2025-12-11,5917.0,5950.0,5917.0,5933.0,500.0,2625.0,2026-02-24
BSE       ,2025-12-11,2589.3,2719.6,2589.3,2709.2,4618500.0,10003125.0,2025-12-30
BSE       ,2025-12-11,2616.4,2735.4,2616.0,2727.2,403500.0,749250.0,2026-01-27
BSE       ,2025-12-11,2645.0,2751.3,2629.5,2744.6,64500.0,164250.0,2026-02-24
CAMS      ,2025-12-11,729.0,760.0,727.0,758.9,1620000.0,8423250.0,2025-12-30
CAMS      ,2025-12-11,738.5,764.5,738.5,763.1,74250.0,933750.0,2026-01-27
CAMS      ,2025-12-11,740.6,760.0,740.6,760.0,14250.0,105000.0,2026-02-24
CANBK     ,2025-12-11,145.7,148.07,145.22,146.63,35181000.0,121824000.0,2025-12-30
CANBK     ,2025-12-11,147.15,148.7,146.41,147.41,5143500.0,12919500.0,2026-01-27
CANBK     ,2025-12-11,148.28,149.5,147.53,148.24,513000.0,2416500.0,2026-02-24
CDSL      ,2025-12-11,1481.9,1537.9,1480.4,1530.0,1828275.0,8656875.0,2025-12-30
CDSL      ,2025-12-11,1489.0,1545.0,1488.7,1537.6,278825.0,877325.0,2026-01-27
