symbol,date,open,high,low,close,volume,oi,expiry
BANKNIFTY ,2025-12-15,59599.8,59750.0,59348.0,59678.0,694050.0,1707335.0,2025-12-30
BANKNIFTY ,2025-12-15,59801.4,60045.2,59699.0,59984.8,43530.0,186960.0,2026-01-27
BANKNIFTY ,2025-12-15,60027.6,60400.0,60027.6,60332.8,13200.0,45300.0,2026-02-24
FINNIFTY  ,2025-12-15,27707.6,27750.8,27635.5,27725.4,6890.0,34710.0,2025-12-30
FINNIFTY  ,2025-12-15,27869.9,28187.9,27869.9,28187.9,120.0,1260.0,2026-01-27
360ONE    ,2025-12-15,1146.5,1163.0,1134.0,1148.1,4326500.0,1784500.0,2025-12-30
360ONE    ,2025-12-15,1146.3,1163.9,1134.2,1148.8,888500.0,92500.0,2026-01-27
360ONE    ,2025-12-15,1146.0,1146.0,1146.0,1146.0,1500.0,4000.0,2026-02-24
ABB       ,2025-12-15,5316.5,5319.5,5223.0,5309.5,355375.0,2328500.0,2025-12-30
ABB       ,2025-12-15,5297.0,5330.0,5236.5,5320.0,51500.0,176875.0,2026-01-27
ABB       ,2025-12-15,5281.0,5335.0,5255.0,5326.0,5000.0,20000.0,2026-02-24
ABCAPITAL ,2025-12-15,363.35,363.55,352.8,353.3,11680800.0,73318100.0,2025-12-30
ABCAPITAL ,2025-12-15,364.25,365.0,355.1,355.35,1054000.0,2064600.0,2026-01-27
ABCAPITAL ,2025-12-15,365.0,365.0,357.15,357.65,148800.0,415400.0,2026-02-24
ADANIENSOL,2025-12-15,1015.0,1023.25,1011.3,1018.15,1312875.0,18443700.0,2025-12-30
ADANIENSOL,2025-12-15,1021.6,1028.3,1019.0,1022.9,122175.0,155925.0,2026-01-27
ADANIENSOL,2025-12-15,1029.0,1031.0,1025.3,1026.0,10125.0,72900.0,2026-02-24
ADANIENT  ,2025-12-15,2293.0,2308.4,2281.3,2289.3,1574355.0,20224977.0,2025-12-30
ADANIENT  ,2025-12-15,2300.2,2316.0,2290.6,2299.7,448050.0,2078025.0,2026-01-27
ADANIENT  ,2025-12-15,2309.7,2320.0,2301.0,2306.1,16995.0,290769.0,2026-02-24
ADANIGREEN,2025-12-15,1047.0,1061.0,1041.2,1050.4,2596800.0,24252000.0,2025-12-30
ADANIGREEN,2025-12-15,1051.0,1066.0,1048.4,1056.7,184200.0,950400.0,2026-01-27
ADANIGREEN,2025-12-15,1056.0,1070.6,1056.0,1062.6,30000.0,201000.0,2026-02-24
